,bigram/trigram
3,im
4,like
5,people
6,love
7,get
8,dont
9,one
10,day
11,good
12,know
14,great
15,cant
16,funny
17,really
19,time
20,right
21,today
22,see
23,well
24,would
25,lol
26,work
27,life
28,think
30,go
31,way
32,much
33,going
34,us
35,new
36,want
37,make
38,back
39,need
40,got
41,never
43,youre
44,say
48,better
49,man
50,last
51,first
54,even
59,still
61,best
63,could
66,says
71,another
72,always
73,night
75,world
79,take
83,look
87,every
90,things
92,big
93,use
99,year
104,real
105,week
108,women
109,news
114,days
115,home
120,school
122,god
124,watch
127,money
128,come
130,show
133,next
140,morning
145,two
146,trump
154,happy
155,stop
158,black
169,live
173,help
187,without
188,kids
195,give
199,little
30754,people
30755,like
30756,im
30757,one
30758,get
30759,dont
30760,day
30761,lol
30762,cant
30763,time
30764,love
30765,today
30766,funny
30767,life
30768,know
30769,got
30770,see
30771,would
30772,think
30773,want
30774,us
30776,work
30778,good
30779,new
30780,right
30781,go
30782,says
30783,say
30784,make
30786,really
30787,man
30788,way
30789,last
30790,back
30792,need
30793,never
30794,even
30795,much
30797,going
30799,still
30800,youre
30801,first
30808,well
30819,take
30820,always
30822,world
30823,use
30825,look
30826,best
30827,money
30828,better
30829,trump
30837,great
30845,could
30846,things
30848,home
30849,show
30852,night
30854,news
30857,black
30860,women
30862,next
30866,real
30868,every
30871,come
30873,two
30879,year
30880,week
30881,watch
30882,stop
30883,big
30887,school
30890,god
30897,days
30906,another
30908,morning
30911,happy
30920,kids
30925,live
30927,help
30934,without
30939,little
30972,give
62850,news
62853,love
62854,funny
62855,lol
62856,new
62859,day
62861,time
62862,us
62863,trump
62864,night
62865,like
62866,one
62867,get
62868,life
62870,world
62871,good
62872,people
62873,dont
62874,im
62876,school
62877,never
62878,today
62879,make
62882,see
62883,would
62884,know
62885,live
62886,need
62889,work
62891,great
62893,first
62895,happy
62896,go
62897,says
62899,best
62902,back
62907,take
62911,man
62912,next
62916,want
62918,watch
62919,think
62920,show
62921,still
62923,morning
62924,got
62925,way
62926,say
62932,help
62933,better
62936,right
62937,going
62938,money
62941,last
62943,god
62946,stop
62948,women
62951,could
62952,use
62955,kids
62957,always
62958,really
62963,cant
62964,week
62967,things
62975,days
62976,year
62977,well
62978,much
62983,come
62986,look
62988,big
62989,another
62997,home
63001,every
63002,even
63006,real
63012,youre
63013,without
63016,little
63017,black
63018,two
63021,give
94853,im
94854,love
94855,like
94856,good
94857,great
94858,people
94859,dont
94860,get
94861,know
94862,really
94864,day
94865,well
94866,one
94867,cant
94868,funny
94869,right
94871,see
94873,time
94874,work
94875,would
94876,lol
94877,today
94878,much
94881,way
94882,going
94883,go
94884,never
94885,back
94887,better
94889,think
94890,need
94891,best
94892,life
94896,new
94897,got
94898,make
94899,youre
94901,want
94903,always
94904,another
94907,could
94910,us
94911,say
94913,night
94914,first
94916,even
94918,man
94921,last
94923,take
94928,still
94929,year
94935,look
94938,school
94942,every
94943,morning
94944,real
94945,world
94948,news
94950,big
94952,happy
94953,days
94958,come
94960,week
94962,next
94966,things
94975,home
94976,use
94977,show
94980,two
94993,money
94997,live
94999,women
95005,watch
95006,god
95009,give
95012,kids
95014,stop
95016,trump
95020,black
95022,help
95024,without
95032,says
95036,little
